t,S,I,R,cenario
0.0,1607058.0,1.0,0.0,COVID-19
1.0027472527472527,1607057.7294782458,1.1623129760054234,0.10820877807192478,COVID-19
2.0054945054945055,1607057.415029218,1.3509822808387448,0.23398850142038402,COVID-19
3.008241758241758,1607057.0495119158,1.5702925000392014,0.38019558427949623,COVID-19
4.010989010989011,1607056.6247784065,1.8251323773740928,0.5500892161705795,COVID-19
5.013736263736264,1607056.1311224496,2.1213256310672293,0.7475519194458342,COVID-19
6.016483516483516,1607055.5572152063,2.465669527091667,0.9771152665807483,COVID-19
7.019230769230769,1607054.890103613,2.865935855725557,1.2439605313474824,COVID-19
8.021978021978022,1607054.1143701663,3.331375022948311,1.5542548108825338,COVID-19
9.024725274725274,1607053.2131254748,3.872120605551071,1.9147539198651031,COVID-19
10.027472527472527,1607052.1665175231,4.500083736835234,2.3333987403091627,COVID-19
11.030219780219781,1607050.9503733662,5.229768021950921,2.8198586121256524,COVID-19
12.032967032967033,1607049.5361991292,6.078269537896977,3.3855313331224846,COVID-19
13.035714285714285,1607047.8911800077,7.0652768335209775,4.043543159004538,COVID-19
14.038461538461538,1607045.9781802674,8.213070929519215,4.808748803373669,COVID-19
15.041208791208792,1607043.755360145,9.546755116427741,5.697884738911001,COVID-19
16.043956043956044,1607041.1701927627,11.09784408937245,6.731963148211318,COVID-19
17.046703296703296,1607038.1684306301,12.898886143773812,7.932683226473602,COVID-19
18.049450549450547,1607034.6845373532,14.989202486031683,9.326260160949142,COVID-19
19.052197802197803,1607030.6377690707,17.417237692455956,10.944993237026303,COVID-19
20.054945054945055,1607025.9321744528,20.240559709266513,12.827265838230495,COVID-19
21.057692307692307,1607020.4565947014,23.525859852593282,15.017545446224208,COVID-19
22.060439560439562,1607014.084663551,27.34895280847623,17.56638364080701,COVID-19
23.063186813186814,1607006.6748072675,31.794776632865297,20.530416099915495,COVID-19
24.065934065934066,1606998.0681694986,36.95863654147587,23.973193960179252,COVID-19
25.068681318681318,1606988.0578088511,42.964672045323546,27.977519103861475,COVID-19
26.07142857142857,1606976.4365519045,49.9371870143769,32.62626108138037,COVID-19
27.074175824175825,1606962.9543411199,58.02621006179275,38.019448818602456,COVID-19
28.076923076923077,1606947.299790439,67.41854850202051,44.28166105918059,COVID-19
29.07967032967033,1606929.1001852849,78.33778835080244,51.5620263645541,COVID-19
30.082417582417584,1606907.9214825612,91.04429432517352,60.03422311394874,COVID-19
31.085164835164836,1606883.2683106523,105.83520984346133,69.89647950437657,COVID-19
32.08791208791209,1606854.5839694242,123.04445702528626,81.3715735506361,COVID-19
33.09065934065934,1606821.2504302233,143.0427366915615,94.70683308531235,COVID-19
34.09340659340659,1606782.527385168,166.2739471361757,110.19866769598386,COVID-19
35.09615384615385,1606737.5091013706,193.28116852761727,128.20973010189772,COVID-19
36.098901098901095,1606685.287002764,224.6096354138647,149.10336182233084,COVID-19
37.10164835164835,1606624.7033129167,260.9537978662239,173.34288921722018,COVID-19
38.104395604395606,1606554.3376289161,303.16533859543176,201.49703248858688,COVID-19
39.107142857142854,1606472.506921368,352.25317295165723,234.23990568053676,COVID-19
40.10989010989011,1606377.2655343965,409.38344892450175,272.3510166792612,COVID-19
41.112637362637365,1606266.405185644,475.87954714299804,316.7152672130355,COVID-19
42.11538461538461,1606137.4549662722,553.2220808756103,368.32295285221954,COVID-19
43.11813186813187,1605987.6813409608,643.0488960302359,428.2697630092591,COVID-19
44.120879120879124,1605813.6926438697,747.3880315514098,497.9193245790918,COVID-19
45.12362637362637,1605611.5509324973,868.5970584846025,578.8520090182382,COVID-19
46.12637362637363,1605377.1527607178,1009.1396528153584,672.7075864670057,COVID-19
47.129120879120876,1605105.2747293585,1172.1449396687635,781.5803309728558,COVID-19
48.13186813186813,1604789.5591343113,1361.4159179240596,908.0249477647415,COVID-19
49.13461538461539,1604422.5139665324,1581.4294602146351,1055.056573253104,COVID-19
50.137362637362635,1603995.5129120422,1837.3363129280292,1226.1507750298729,COVID-19
51.14010989010989,1603498.7953519258,2134.961096205938,1425.2435518684706,COVID-19
52.14285714285714,1602921.4663623322,2480.8023039441996,1656.7313337238052,COVID-19
53.145604395604394,1602251.496714475,2882.032303792813,1925.4709817322791,COVID-19
54.14835164835165,1601474.18941191,3347.329041938263,2237.4815461518556,COVID-19
55.1510989010989,1600572.353978169,3886.9081838675975,2599.7378379636566,COVID-19
56.15384615384615,1599527.561844759,4511.854644839691,3019.5835104016514,COVID-19
57.15659340659341,1598316.9343440556,5235.796856264482,3506.268799680197,COVID-19
58.15934065934066,1596913.103927617,6074.92726499158,4070.968807391791,COVID-19
59.16208791208791,1595284.2141661828,7048.002333310291,4726.783500507088,COVID-19
60.16483516483517,1593393.9197496758,8176.3425389495715,5488.737711374872,COVID-19
61.167582417582416,1591201.3864872002,9483.832375078047,6373.781137722066,COVID-19
62.17032967032967,1588661.2913070424,10996.920350304055,7400.7883426537555,COVID-19
63.17307692307692,1585723.8222566715,12744.618988675558,8590.558754653142,COVID-19
64.17582417582418,1582334.0157818855,14757.646973235767,9967.33724487901,COVID-19
65.17857142857143,1578424.099477253,17074.471575116168,11560.428947631046,COVID-19
66.18131868131869,1573913.20402123,19743.778626691368,13402.01735207874,COVID-19
67.18406593406593,1568710.5144349658,22818.220578727447,15530.26498630703,COVID-19
68.18681318681318,1562715.3044159818,26354.29291909003,17989.40266492845,COVID-19
69.18956043956044,1555816.9363381732,30412.334172744042,20829.729489082973,COVID-19
70.1923076923077,1547894.8612518082,35056.52590175387,24107.61284643811,COVID-19
71.19505494505495,1538818.618883528,40354.892705283324,27885.488411188875,COVID-19
72.19780219780219,1528447.837636347,46379.30221959554,32231.860144057744,COVID-19
73.20054945054945,1516632.2345896522,53205.46511805335,37221.300292294894,COVID-19
74.2032967032967,1503233.0463563094,60895.824462552846,42930.12918113788,COVID-19
75.20604395604396,1488129.2309016676,69489.900812323,49439.868286009514,COVID-19
76.20879120879121,1471071.645973438,79118.16280101934,56869.191225542876,COVID-19
77.21153846153847,1451837.7601182596,89883.73132518155,65337.508556559,COVID-19
78.21428571428571,1430247.3367751262,101850.17029741,74961.49292746402,COVID-19
79.21703296703296,1406162.434275384,115041.48664636645,85855.07907824978,COVID-19
80.21978021978022,1379487.4058427343,129442.13031677296,98129.46384049306,COVID-19
81.22252747252747,1350168.8995932317,144996.99426941265,111893.10613735594,COVID-19
82.22527472527473,1318195.858535285,161611.41448112947,127251.72698358588,COVID-19
83.22802197802197,1283599.5205696572,179151.16994482797,144308.30948551535,COVID-19
84.23076923076923,1246453.4184894636,197442.4826694743,163163.09884106275,COVID-19
85.23351648351648,1206797.078589559,216340.4666592718,183921.45475116943,COVID-19
86.23626373626374,1164723.3039998114,235687.38763714937,206648.3083630394,COVID-19
87.23901098901099,1120722.4314116524,255022.05551272773,231314.51307562023,COVID-19
88.24175824175825,1075283.1777273011,273909.8744180218,257865.94785467727,COVID-19
89.24450549450549,1028870.3659878056,291961.7689009485,286226.86511124595,COVID-19
90.24725274725274,981924.9253730389,308834.1839253278,316299.89070163347,COVID-19
91.25,934863.891201703,324229.0848708809,347966.02392741636,COVID-19
92.25274725274726,888080.4049313266,337893.9575332317,381084.6375354419,COVID-19
93.25549450549451,841943.7141582659,349621.8081239064,415493.4777178279,COVID-19
94.25824175824175,796799.1726177048,359251.163270333,451008.66411196237,COVID-19
95.26098901098901,752968.2401836526,366666.07001584256,487424.6898005051,COVID-19
96.26373626373626,710748.4828689476,371796.09581966756,524514.4213113851,COVID-19
97.26648351648352,670413.5728252551,374616.32855694316,562029.098617802,COVID-19
98.26923076923077,632213.2883430673,375147.37651870644,599698.3351382266,COVID-19
99.27197802197801,596317.0863695317,373485.77210445993,637256.1415260085,COVID-19
100.27472527472527,562649.9465078347,369870.05826795864,674538.9952242067,COVID-19
101.27747252747253,531214.1986940823,364479.0453617236,711365.7559441942,COVID-19
102.28021978021978,502007.2951507455,357484.6592587759,747567.0455904787,COVID-19
103.28296703296704,475006.96048157034,349060.5919767467,782991.4475416831,COVID-19
104.28571428571428,450171.19167157845,339382.3016778776,817505.506650544,COVID-19
105.28846153846153,427438.25808706577,328627.01266902004,850993.7292439144,COVID-19
106.29120879120879,406726.7014756042,316973.71540163585,883358.58312276,COVID-19
107.29395604395604,387935.3359660407,304603.16647179716,914520.4975621623,COVID-19
108.2967032967033,370943.2480684972,291697.88862018613,944417.8633113168,COVID-19
